icode,specify_atc
1510086,D01AC08
1510031,C05CA53
1510092,A01AC01
1000146,N05AD01
1630158,J01FA10
1660008,QA07AA10
1460182,J07BC01
1570011,V03AC02
1481234,QB03BA51
1460333,D09AA01
1510023,R05CB02
1510054,A06AA02
1670169,QH01BB03
1670046,M01AH05
1680222,M01AX05
1460008,A06AC01
1550007,R06AB54
1590026,C08CA05
1530009,D01AE13
1660134,G04CA04
1580006,C01EB15
1510022,R05CB01
1530049,QB05AA01
1610013,C07AB07
1580047,C07AB07
1000051,R05CB02
1630054,J01DD15
1510068,A02BB01
1570039,A03AD02
1650049,G04CA52
1590007,G04CB02
1650053,M01AH04
1650160,A10BK03
1640236,A02BA03
1610044,G03GA05
1470513,J05AE02
1660067,A10BH05
1440303,A11A0
1000197,QA11CC05
1680038,N03AX16
1680212,M09AX01
1620036,M02AX06
1000312,QA11HA01
1590023,B05BA03
1670036,J05AF13
1690021,J07BC01
1600015,G03GB02
1630008,J07AM51
1540071,J01DD01
1540006,J01DD02
1540039,QJ01FF01
1570023,J01EE01
1460016,A03FA01
1000137,C03CA01
1000138,C03CA01
1570022,D06BB03
1540036,D06AX12
1520003,QJ01CR02
1540062,A01AB04
1460057,QJ01CA01
1000034,QJ01CA01
1460062,J06AA
1460063,J06AA03
1460069,M03AC04
1000041,A03BA01
1510015,J01CE08
1000054,A03BB01
1530023,J01DB04
1000060,J01DD04
1520004,J01MA02
1000082,J01CF02
1460128,R06AB04
1000108,N05BA01
1000111,QM01AB05
1430202,R06AA09
1560007,QI01AB00
1460145,G03AC06
1510053,QJ01GB03
1460172,B05CX01
1000147,N05AD01
1460180,B01AB01
1483804,A01AC03
1540038,J01DH02
1015001,A01AB17
1460236,A06AH04
1530012,A02BC01
1460343,H01BB02
1000231,J01CE01
1530048,N03AB02
1460328,B05CB04
1460340,A07AA04
1420102,R03AC03
1510080,J07A2
1510097,N02AX02
1481226,QS01XA12
1000318,B02BA01
1530035,A12BA01
1510078,A12CA01
1640284,B02AA
1510005,C08CA01
1540073,N05AX08
1640146,C07AG02
1000254,C07AA05
1580043,C08CA01
1650035,C02DB02
1000184,A10BA02
1000030,QJ01CA04
1510002,N06AA09
1630153,C07AG02
1530008,A12CA01
1670136,B01AD02
1000113,C01AA05
1580030,C01CA07
1570017,B01AB05
1640136,N01AH01
1640134,N02AA01
1510027,A12CC
1000177,A12CC
1570024,L01BA01
1610034,N02AA01
1600006,N02AA01
1620005,N02AA01
1580027,C08CA04
1590024,B01AA03
1570019,B01AA03
1570018,B01AA03
1660071,B01AF03
1570041,C01DA02
1670042,B01AF02
1580060,C01BD01
1520013,C01EB10
1000010,A01AD01
1530013,C01BD01
1481247,A12AA03
1000114,C01AA05
1000118,C01CA04
1570034,N01AH01
1570016,C01CA03
1570035,N05CD08
1000196,N02AA01
1000236,N02AB02
1000244,A12BA01
1560014,B01AD01
1620044,N02AA01
1620018,N01AH01
1690106,B03XA02
1640022,N04BA02
1600016,B05BB01
1670033,S01EC01
1640138,R05CB01
1650146,R05CB01
1510063,A07BA01
1600007,D06BB03
1680278,A11AA04
1510001,QP52AC11
1000011,QP52AC11
1590031,D08AX08
1680104,M05BA04
1640157,A11CC03
1000016,M04AA01
1680102,D11AX21
1510021,QA03AX63
1570014,A02AB01
1640054,C01BD01
1000023,N06AA09
1630015,QJ01CA04
1560025,QJ01CR02
1660089,J01CA51
1680236,R03AL03
1510010,A02AD
1600001,J06BB01
1520012,A01AD05
1000038,A01AD05
1440102,N05BB01
1560016,J05AE08
1620012,C10AA05
1630078,A03BA01
1620050,QJ01CR02
1580050,R01AD12
1650017,L04AX01
1630165,J01FA10
1640206,M03BX01
1460074,J07AN01
1481231,N04AA01
1481219,N04AA01
1660132,P03AX01
1580011,R03AL01
1460082,R03AL01
1481225,R03AL01
1560017,N07CA01
1680149,N07AB02
1640208,QS03BA03
1670184,D11AX21
1630151,G02CB01
1560010,A07EA06
1650084,N01BB01
1460089,QN06BC01
1000056,QA12CB
1630072,A11CC01
1640274,H04A0
1570031,A11CC04
1640112,A02AC01
1650153,A02AC01
1530051,C09AA01
1620038,N03AF01
1570015,C07AG02
1660146,A10AB01
1680014,J01DB01
1640032,J01DD08
1570012,R06AE07
1650117,N05CC01
1650087,QD08AC02
1560021,QD08AC02
1000065,P01BA01
1510045,N05AA01
1460111,N05AA01
1650063,D08AC52
1530003,J01MA02
1530001,J01FA09
1680315,J01MA12
1540007,QJ01FF01
1510037,QD07AD01
1510127,J04BA01
1510128,J04BA01
1530028,N03AE01
1670084,N03AE01
1530011,B01AC04
1460265,N05BA05
1510038,A01AB18
1460544,A01AB18
1530025,N05AH02
1530026,N05AH02
1000084,J01EE01
1000085,J01EE01
1000086,M04AC01
1470520,J05AR01
1510066,G03CA57
1640189,J07BX03
1640295,J07BX03
1640231,J07BX03
1650005,J07BX03
1640122,J07BX03
1000002,R06AB04
1000004,R06AB04
1680095,J01MA12
1510046,R06AX02
1000099,C05BB56
1000100,C05BB56
1483775,C05BB56
1600010,C05BB56
1000096,C05BB56
1000095,C05BB56
1000104,B05CX01
1000102,B05CX01
1000101,B05CX01
1530020,B05CX01
1680244,G03XA01
1660130,M03CA01
1510121,D10AX05
1630058,V03AC03
1530030,N03AG01
1670091,N03AG01
1640276,N03AG01
1630074,V03AC01
1680283,H01BA02
1680151,H01BA02
1640048,QH02AB02
1000089,QH02AB02
1510070,R01AD53
1000091,K02A0
1000092,QR05DA09
1680227,M01AX21
1000106,N05BA01
1000107,N05BA01
1000110,QM01AB05
1630035,J01CF01
1510047,J01CF01
1510048,J01CF01
1570040,J05AF02
1520010,J05AF02
1640028,P02CB02
1000115,R06AA09
1530050,J06AA01
1580010,R06AB51
1650095,J05AX12
1483778,A03FA03
1450020,A03FA03
1670124,N06DA02
1520016,C02CA04
1430203,QJ01AA02
1460148,QI01AB00
1620045,J07A3
1460564,J05AG03
1430501,J05AG03
1660086,H03AA01
1430901,H03AA01
1650059,N01BB52
1000122,C09AA02
1460151,C09AA02
1590002,C01CA26
1570013,B03XA02
1680044,B03XA02
1680046,B03XA02
1680110,B03XA02
1460156,QI05A
1660054,J01DH03
1000125,QJ01FA01
1000126,QJ01FA01
1670180,B03XA02
1670171,B03XA02
1650080,C07AB09
1690005,G03CA03
1000129,J04AK02
1650039,J04AK02
1000015,D08AX08
1483791,G03AA07
1650044,N01AX07
1630139,B03AB05
1640052,C10AX09
1640170,J05AX27
1660073,M04AA03
1580002,C10AB05
1590022,B03AA02
1510074,B03AA07
1610022,L03AA02
1560003,D11AX10
1440208,D01AC15
1670066,D01AC15
1630183,N07CA03
1483781,N06AB03
1530022,QN05AB02
1000135,B03BB01
1000136,QP53AX19
1690046,J01XX01
1000139,C03CA01
1510052,C03CA01
1640131,N03AX12
1680016,N03AX12
1580028,N03AX12
1660144,A10AB01
1460168,C10AB04
1550001,C10AB04
1510091,QJ01GB03
1610030,A10AE04
1019001,A10BB07
1680090,B05XA14
1650057,QA03AB02
1520019,J05AR05
1460176,J05AR07
1460177,D01AA08
1460541,R05CA03
1530016,R05CA03
1000145,N05AD01
1630011,J07A3
1590018,N01BB01
1680011,B03XA02
1000148,S01GA52
1630009,A10AB01
1600009,A10AB01
1540070,C02DB02
1510089,C02DB02
1000151,D08AX01
1630026,P01BA02
1580008,L01XX05
1510024,M01AE01
1510051,M01AE01
1660105,J01DH51
1510055,N06AA02
1480002,J05AE02
1680147,QI01DF00
1630046,QI01DF00
1580052,J07AE01
1670174,B03AC
1680239,N01BB01
1430104,J04AC01
1460001,C01DA08
1430802,C01DA08
1570036,J02AC02
1640214,QP54AA01
1610042,G03GA01
1630017,J06BA00
1590027,J07CA
1460197,J07CA
1510060,V03AE01
1520009,J05AR10
1640200,N03AX14
1580054,N01AX03
1460203,N01AX03
1650101,C07AG01
1460046,A01A0
1000165,A06AD11
1470507,J05AF05
1460563,J05AF05
1670079,N03AX09
1660069,L02BG04
1690011,L02AE02
1630167,N03AX14
1630082,N03AX14
1660140,N04BA02
1580001,J01MA12
1570032,J01MA12
1510122,QN04BA01
1510123,N01BB02
1510025,S01EA51
1000168,N01BB02
1000169,N01BB02
1000170,S01EA51
1530024,QN05AN01
1483812,R01AD60
1640210,A07DA03
1510085,R06AX13
1520032,N05BA06
1680007,N05BA06
1530034,C09CA01
1640196,QD08AG53
1530041,G03AC02
1630013,C08CA11
1460217,A06AD16
1650099,K01E1
1470544,J07A5
1690086,A03AA04
1680018,B03BA05
1650092,M01AG01
1540063,J07CA
1510028,A10BA02
1540082,N07BC02
1510100,H03BB02
1460013,C02AB
1000185,G02AB01
1670114,N06BA04
1660082,N06BA04
1590006,D07AA01
1510020,C07AB02
1580046,A01AB17
1670148,N06AX03
1000189,A02AA04
1510029,A02AA04
1660030,G04BD12
1590011,G03AD01
1510130,A10AB01
1460234,J07A5
1510056,C03AX01
1650065,J05AB18
1590030,R03DC03
1670126,A03FA
1580049,J07A5
1630103,A11A0
1560009,D06AX09
1580012,A12CA01
1550004,G02AD05
1610016,G02CC02
1470510,J05AG01
1520007,J05AG01
1590025,C08CA05
1580056,M03AC11
1460304,G03AC01
1000213,J01MA06
1530029,N06AA10
1483832,A10A0
1460038,A12CA01
1000215,A12CA01
1570010,A12CA01
1000214,A12CA01
1600002,QG03HA01
1630123,H01CB02
1483801,QA06AG06
1510035,A02BC01
1680291,A04AA01
1460519,J07BF04
1430701,C05BB56
1520020,J05AH02
1520030,J05AH02
1520031,J05AH02
1680086,G04BD04
1670022,A02BC02
1000227,N02BE01
1000226,N02BE01
1650078,J05AE30
1650149,A06AD15
1610025,A10AB01
1640120,A10AB05
1000233,QJ01CE02
1530027,N05AB03
1460259,N05AB03
1460258,N05AB03
1000238,N03AA02
1640155,N03AA02
1580004,N03AB02
1481242,N03AB02
1510094,G03AA07
1520002,A10BG03
1580005,QJ01CA12
1680216,C10AA08
1460019,A03FA01
1510081,A07AA51
1483822,A12BA01
1460260,QD08AG03
1510120,QD08AG03
1483792,QD08AG03
1483793,QD08AG03
1483794,QD08AG03
1000249,A07EA01
1000252,P01BA03
1620015,A09AA02
1000253,N01BB52
1640239,N01AX10
1000255,C07AA05
1580057,QS01EB06
1640037,G02AD02
1610045,G03AC06
1000257,H03BA02
1590017,P01BD01
1000258,J04AK01
1640183,N05AH04
1670111,N05AH04
1440504,P01BC01
1000260,A02BA02
1640259,J05AB16
1540078,J04AM05
1580044,J06BB01
1481212,A10A0
1481213,A10A0
1000264,J04AB02
1000265,J04AB02
1620047,J05AG05
1510095,J04AM06
1640090,N05AX08
1540083,N05AX08
1520011,J05AE03
1000266,A01A0
1650061,M03AC09
1680270,N04BC04
1650109,C10AA07
1630042,J07BH01
1690037,A10AB01
1650026,J07BH01
1000267,J01FA06
1510009,D08AX08
1000270,R03AC02
1000268,R03AC02
1000269,R03AC02
1000271,R03AC02
1640104,R03AK06
1560011,R03AK06
1540079,N06AB06
